INDEX,CONTENT содержимое,COMMENT отзыв ,RATING оценка,REMARK замечания
11,"Дипломная работа посвящена разработке интернет сервис непосредственно для товарищества 
собственников жилья «Эдельвейс». В работе выполнено исследование предметной области проблематики 
ТСЖ, построена функциональная модель системы, дано техническое обоснование разработки и 
сформулированы требования к системе. Проведенная работа позволила создать автоматизированную 
систему обработки информации и управления, с возможностью её использования в современных условиях. 
Спроектировано, разработано и представлено программное обеспечение, представляющее собой 
полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Отсутствие оповещений при получении нового сообщения
в системе."
12,"Предметом исследования является разработка и проектирование информационной системы для 
автоматизированного получения доступа на предприятие. В работе выполнено исследование задач, решаемых 
при управлении доступом сотрудников на предприятие. Дано техническое обоснование необходимости 
создания системы управления доступом. Выделены и сформулированы требования к функциональности и 
интерфейсу такой системы. Спроектировано, разработано и представлено программное обеспечение, 
представляющее собой полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
13,"Дипломная работа посвящена проектированию и разработке системы управления проектами почтовой службы. 
В работе выполнено исследование задач, решаемых при управлении проектами в рамках работы почтовой 
службы. Дано техническое обоснование необходимости создания системы управления проектами. Выделены и 
сформулированы требования к функциональности и интерфейсу такой системы.
Спроектировано, разработано и представлено программное обеспечение, представляющее собой прототип 
информационной системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
14,"Выпускная квалификационная работа посвящена актуальной проблеме создание ГИС-системы по техногенным 
отходам. Автором выполнен аналитический обзор имеющихся решений. Сформулированы требования к 
проектируемой системе. Выполнен системный анализ обьекта управления. Разработано информационное 
и программное обеспечение.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
15,"Выпускная квалификационная работа посвящена разработке автоматизированной системы подбора и 
структурирования синематеки на базе онлайн-ресурсов.В работе выполнено исследование предметной области 
синематеки, построена функциональная модель системы, дано техническое обоснование разработки и 
сформулированы требования к системе. Спроектировано, разработано и представлено программное 
обеспечение, представляющее собой полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
16,"Выпускная квалификационная работа посвящена разработке приложения TaskMe, решающего проблему 
отсутствия коммуникации между работниками и работодателями. Выполнен системный анализ объекта 
управления. Определены необходимые функции приложения. Построена информационно-логическая модель. 
Разработан пользовательский интерфейс. Спроектировано, разработано и представлено программное 
обеспечение, представляющее собой прототип информационной системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
17,"Выпускная квалификационная работа посвящена проектированию и разработке автоматизированной системы 
управления автомобильным паркингом. Выпускная квалификационная работа состоит из аннотации, введения, 
трех разделов и заключения. В процессе разработки автоматизированной системы был проведен анализ 
существующих сегодня на рынке решений, сформулированы основные требования к системе, произведено 
функциональное моделирование решения, решена задача распознавания автомобильных номеров и 
передача данных в приложение, контролирующее положение шлагбаума.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс оператора и администратора системы."
18,"Выпускная квалификационная работа посвящена исследованию инормационной и коммуникационной 
обеспеченности студеньческих отрядов. Целью выпускной квалификационной работы является проектирование
и разработка информацинной системы, которая необходима для информирования членов 
студенческой организации.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,Существенных замечаний по работе нет.
19,"ВКР посвящена проектированию и разработке автоматизированной системы мониторинга и диагностики 
сетевых компьютерных устройств в ООО НАГ - ведущего российского разработчика оборудования и 
решений для телекоммуникационной отрасли, промышленности и бизнеса. В работе осуществлена постановка 
задачи, произведено проектирование и разработка автоматизированной системы мониторинга и диагностики 
сетевых устройств. Имеется аналитический раздел, в котором изучаются имеющиеся аналоги программы, их 
недостатки и положительные стороны учитываются при проектировании создаваемой системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,"Замечание: 
1. Ввиду возможных потерь важной информации при отказах сети 
желательно предусмотреть аварийное копирования важной информации, 
а также оповещать об аварийной ситуации по e-mail (SMS) руководящий 
состав и ключевых работников предприятия."
20,"Дипломная работа посвящена исследованию, проектированию и разработке автоматизированной системы
проверки знаний студентов по любой предметной области. В процессе разработки автоматизированной системы 
был проведен анализ существующих сегодня на рынке решений, сформулированы основные требования к 
системе, произведено функциональное моделирование решения.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
21,"ВКР посвящена проектированию и разработке сайта, предназначенного для организации финансового между
подписчиками проекта и партнерами проекта ""Аварийка"". В работе осуществлена постановка 
задачи, произведено проектирование и разработка функциональных возможностей сайта.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечание:
1. На мой взгляд, недостаточно освещены механизмы предполагаемого круга
потенциальных партнеров, а так же отсутствует оценка уровня возможных затрат."
22,"Дипломный проект студента группы посвящен решению актуальной разработки агрегатора 
информационно-медийного портала. Выполнен системный анализ объекта управления. Выявлены 
функциональные требования к системе.Требования к системе со стороны пользователей представлены в виде 
диаграммы вариантов использования.Спроектирована база данных.Разработана АИС. Определены средства 
разработки и требования  к программно-аппаратной части. Разработано руководство пользователя.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.","Оценка «отлично» при 
соотвествующей защите.",Замечаний по работе нет.
23,"ВКР посвящена проектированию и разработке автоматизированной системы подачи заявок о неисправностях 
средств вычислительной техники в Федеральном Бюджетном учреждении Здравоохранения ""Центр гигиены
и эпидемиологии в г. Екатеринбурге, г. Березовский и г. Верхняя Пышма"". В работе осуществлена постановка
задачи, проектирование и разработка автоматизированной системы сбора заявок.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «Отлично».,"Замечания:
1. В текущей редакции отсутствует оперативное оповещение администраторов
предприятия об поступившей заявке."
