INDEX,CONTENT,COMMENT,RATING,REMARK
11,"Дипломная работа посвящена разработке интернет сервис непосредственно для товарищества 
собственников жилья «Эдельвейс». В работе выполнено исследование предметной области проблематики 
ТСЖ, построена функциональная модель системы, дано техническое обоснование разработки и 
сформулированы требования к системе. Проведенная работа позволила создать автоматизированную 
систему обработки информации и управления, с возможностью её использования в современных условиях. 
Спроектировано, разработано и представлено программное обеспечение, представляющее собой 
полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Отсутствие оповещений при получении нового сообщения
в системе."
12,"Предметом исследования является разработка и проектирование информационной системы для 
автоматизированного получения доступа на предприятие. В работе выполнено исследование задач, решаемых 
при управлении доступом сотрудников на предприятие. Дано техническое обоснование необходимости 
создания системы управления доступом. Выделены и сформулированы требования к функциональности и 
интерфейсу такой системы. Спроектировано, разработано и представлено программное обеспечение, 
представляющее собой полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
13,"Дипломная работа посвящена проектированию и разработке системы управления проектами почтовой службы. 
В работе выполнено исследование задач, решаемых при управлении проектами в рамках работы почтовой 
службы. Дано техническое обоснование необходимости создания системы управления проектами. Выделены и 
сформулированы требования к функциональности и интерфейсу такой системы.
Спроектировано, разработано и представлено программное обеспечение, представляющее собой прототип 
информационной системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
14,"Выпускная квалификационная работа посвящена актуальной проблеме создание ГИС-системы по техногенным 
отходам. Автором выполнен аналитический обзор имеющихся решений. Сформулированы требования к 
проектируемой системе. Выполнен системный анализ обьекта управления. Разработано информационное 
и программное обеспечение.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
15,"Выпускная квалификационная работа посвящена разработке автоматизированной системы подбора и 
структурирования синематеки на базе онлайн-ресурсов.В работе выполнено исследование предметной области 
синематеки, построена функциональная модель системы, дано техническое обоснование разработки и 
сформулированы требования к системе. Спроектировано, разработано и представлено программное 
обеспечение, представляющее собой полнофункциональную информационную систему.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
16,"Выпускная квалификационная работа посвящена разработке приложения TaskMe, решающего проблему 
отсутствия коммуникации между работниками и работодателями. Выполнен системный анализ объекта 
управления. Определены необходимые функции приложения. Построена информационно-логическая модель. 
Разработан пользовательский интерфейс. Спроектировано, разработано и представлено программное 
обеспечение, представляющее собой прототип информационной системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
17,"Выпускная квалификационная работа посвящена проектированию и разработке автоматизированной системы 
управления автомобильным паркингом. Выпускная квалификационная работа состоит из аннотации, введения, 
трех разделов и заключения. В процессе разработки автоматизированной системы был проведен анализ 
существующих сегодня на рынке решений, сформулированы основные требования к системе, произведено 
функциональное моделирование решения, решена задача распознавания автомобильных номеров и 
передача данных в приложение, контролирующее положение шлагбаума.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс оператора и администратора системы."
18,"Выпускная квалификационная работа посвящена исследованию инормационной и коммуникационной 
обеспеченности студеньческих отрядов. Целью выпускной квалификационной работы является проектирование
и разработка информацинной системы, которая необходима для информирования членов 
студенческой организации.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,Существенных замечаний по работе нет.
19,"ВКР посвящена проектированию и разработке автоматизированной системы мониторинга и диагностики 
сетевых компьютерных устройств в ООО НАГ - ведущего российского разработчика оборудования и 
решений для телекоммуникационной отрасли, промышленности и бизнеса. В работе осуществлена постановка 
задачи, произведено проектирование и разработка автоматизированной системы мониторинга и диагностики 
сетевых устройств. Имеется аналитический раздел, в котором изучаются имеющиеся аналоги программы, их 
недостатки и положительные стороны учитываются при проектировании создаваемой системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,"Замечание: 
1. Ввиду возможных потерь важной информации при отказах сети 
желательно предусмотреть аварийное копирования важной информации, 
а также оповещать об аварийной ситуации по e-mail (SMS) руководящий 
состав и ключевых работников предприятия."
20,"Дипломная работа посвящена исследованию, проектированию и разработке автоматизированной системы
проверки знаний студентов по любой предметной области. В процессе разработки автоматизированной системы 
был проведен анализ существующих сегодня на рынке решений, сформулированы основные требования к 
системе, произведено функциональное моделирование решения.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
21,"ВКР посвящена проектированию и разработке сайта, предназначенного для организации финансового между
подписчиками проекта и партнерами проекта ""Аварийка"". В работе осуществлена постановка 
задачи, произведено проектирование и разработка функциональных возможностей сайта.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,"Замечание:
1. На мой взгляд, недостаточно освещены механизмы предполагаемого круга
потенциальных партнеров, а так же отсутствует оценка уровня возможных затрат."
22,"Дипломный проект студента группы посвящен решению актуальной разработки агрегатора 
информационно-медийного портала. Выполнен системный анализ объекта управления. Выявлены 
функциональные требования к системе.Требования к системе со стороны пользователей представлены в виде 
диаграммы вариантов использования.Спроектирована база данных.Разработана АИС. Определены средства 
разработки и требования  к программно-аппаратной части. Разработано руководство пользователя.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.","Оценка «отлично» при 
соотвествующей защите.",Замечаний по работе нет.
23,"ВКР посвящена проектированию и разработке автоматизированной системы подачи заявок о неисправностях 
средств вычислительной техники в Федеральном Бюджетном учреждении Здравоохранения ""Центр гигиены
и эпидемиологии в г. Екатеринбурге, г. Березовский и г. Верхняя Пышма"". В работе осуществлена постановка
задачи, проектирование и разработка автоматизированной системы сбора заявок.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «Отлично».,"Замечания:
1. В текущей редакции отсутствует оперативное оповещение администраторов
предприятия об поступившей заявке."
24,"Выпускная квалификационная работа посвящена разработке почтового сервиса. Автором выполнен
аналитический обзор имеющихся решений. Сформулированы требования к проектируемой системе.
Выполнен системный анализ обьекта управления. Разработано информационное и программное обеспечение.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «Удовлетворительно».,"Замечания: 
1. При просмотре списка сообщений в разделе ""Личные сообщения"" 
отсутствует возможность просмотра всех сообщений, в которых 
вы участвовали. 
2. При просмотре сообщений, отправленных вами, 
нет возможности просмотреть все сообщения, которые вы 
получали от данного отправителя, а также от других пользователей."
25,"Выпускная квалификационная работа посвящена разработке системы для управления проектом строительства 
объекта. В работе представлена общая схема проекта, на примере которого выполнен анализ методов и 
моделей, применяемых в различных сферах деятельности. Целью работы является разработка системы 
поддержки решения задачи выбора оптимальной стратегии строительства объектов.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «отлично».,Замечаний по работе нет.
26,"Выпускная квалификационная работа посвящена разработке программного обеспечения для анализа и 
прогнозирования на основе данных о продажах продуктов питания в магазинах. В работе рассматривается 
несколько методов анализа и прогноза продаж. Данные методы были применены для определения тенденции 
продаж в магазине, а также прогноза продаж на месяц, квартал и год.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Рекомендуемая оценка «хорошо».,Существенных замечаний по работе нет.
27,"Выпускная квалификационная работа посвящена разработке программного обеспечения для автоматизации 
процесса приема и обработки заказов, поступающих от интернет-магазинов.
Приводится описание предметной области, на которой базируется разрабатываемое программное обеспечение. 
Описываются методы, применяемые для решения поставленных задач.
Разработана архитектура и структура программного обеспечения, а также его основные функции.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Оценка «отлично».,"Замечания по работе:
1. Разработанная информационная система не отвечает всем 
требованиям, сформулированным в работе.
2. Имеются недочеты по оформлению работы."
28,"ВКР посвящена проектированию и разработке автоматизированной системы управления документооборотом 
в фирме. В работе рассматривается создание автоматизированной информационно-технологической системы, 
обеспечивающей выполнение основных функций управления и документооборота в фирме.","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Рекомендуемая оценка «хорошо».,Замечаний по работе нет.
29,"ВКР посвящена проектированию и разработке автоматизированной системы управления (АСУ) для 
управления технологическим процессом в деревообрабатывающей промышленности. В работе представлена 
модель предметной области, содержащая описание деятельности деревообрабатывающего предприятия и
ее отдельных структурных подразделений.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студентка достойна звания дипломированного бакалавра.",Рекомендуемая оценка «хорошо».,"Замечания по работе: 
1. В разделе ""Описание предметной области"" не указано, что АСУ 
должна быть интегрированной с другими информационными 
системами предприятия."
30,"Выпускная квалификационная работа посвящена веб разработке сайта для электронной торговли.
Проект представляет собой интернет-магазин спортивных товаров.
В работе также были рассмотрены вопросы безопасности сайта, которые включают в себя защиту от 
вредоносных программ и вирусов, а также от взлома и несанкционированного доступа к сайту.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».," Замечания по работе: 
1. В работе присутствуют некоторые недоработки, связанные с 
защитой сайта. 
2. В работе присутствует небольшое количество страниц, что является недостатком. 
3. В работе имеются ошибки, связанные со стилистикой."
31,"Курсовая работа посвящена веб разработке, а именно разработке сайта с помощью библиотеки Bootstrap.
В данной работе была разработана структура сайта, сделана верстка и выполнена адаптация сайта 
под мобильные устройства. При написании данного курсового проекта использовались следующие 
программные продукты: Microsoft Visual Code, Bootstrap.","Выполненная работа полностью не соответствует требованиям, предъявляемым  к курсовой работе.",Оценка «Плохо».,"Замечания по работе:
1. В процессе работы над проектом было выявлено, что сайт требует доработки.
2. Не хватает некоторых данных о проекте.
3. Не хватает данных о дизайне.
4. Не хватает описания структуры сайта.
5. В данной курсовой работе очень мало примеров кода.
6. В работе есть примеры кода не для всех блоков."
32,"Курсовая работа посвящена разработке системы для автоматизации учета на предприятиях малого бизнеса. 
В соответствии с этим будет осуществлена разработка базы данных, а также разработан интерфейс 
пользователя для системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Замечаний по работе нет.
33,"Курсовая работа посвящена разработке системы для автоматизации учета рабочего времени сотрудников. 
Система предназначена для повышения эффективности использования рабочего времени персонала, а 
также для оптимизации учета рабочего времени.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Существенных замечаний по работе нет.
34,"Курсовая работа посвящена разработке системы для управления и мониторинга работы сети в режиме 
реального времени. Основной целью создания данной системы является решение задач мониторинга 
сети и управления ее работой. Система предназначена для использования в сетевых структурах, где 
необходимо отслеживать состояние отдельных узлов сети, а также для наблюдения за работой сети в целом.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «хорошо».,Существенных замечаний по работе нет.
35,"ВКР посвящена проектированию и разработке автоматизированной системы управления предприятием по 
производству пластиковых окон. Целью выпускной квалификационной работы является разработка 
программного обеспечения для автоматизации производства пластиковых окон на предприятии.","Выполненная работа полностью не соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент не достоин звания дипломированного бакалавра.",Оценка «Плохо».,"Замечание по работе:
1. Не соотвествует требованиям."
36,"ВКР посвящена проектированию и разработке систем контроля и управления процессами фильтрации воды 
на примере двух скважин. В первой скважине за счет изменения режимов работы фильтра происходит 
регулировка водообмена, во второй скважине – регулирование производительности. Целью работы 
является разработка и изготовление устройств, предназначенных для автоматизации и управления 
режимами работы фильтрующих элементов.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
37,"ВКР посвящена проектированию и разработке программного обеспечения для управления и автоматизации 
процессов производства сельскохозяйственной продукции. Целью выпускной квалификационной работы 
является разработка программного продукта для автоматизированного управления процессами производства 
в сельскохозяйственном предприятии.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,Существенных замечаний по работе нет.
38,"Выпускная квалификационная работа посвящена разработке программного обеспечения для реализации 
системы дистанционного обучения, которая позволяет проводить видеоконференцию. 
Целью работы является разработка программного продукта, который позволит организовать видеосвязь с 
помощью персонального компьютера.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «удовлетворительно».,"Замечание по работе:
1. Неправильно построен алгоритм обработки сообщений.
2. Некорректно работает обработка ошибок."
39,"Курсовая работа посвящена веб разработке системы для проведения вебинаров.
В системе реализовано несколько режимов работы, имеется возможность загрузки всех видов файлов.
Так же реализована возможность отправки сообщений и сохранения их внутри системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «хорошо».,Существенных замечаний по работе нет.
40,"Курсовая работа посвящена веб разработке системы для управления складом. Система предназначена для 
автоматизации всех процессов, связанных с хранением товара. В будущем могут быть реализованы все 
остальные процессы склада: прием, комплектация, разгрузка, отгрузка. 
Автоматизация склада позволит обеспечить оперативный учет и контроль за работой склада.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Замечаний по работе нет.
41,"Курсовая работа посвящена проектированию и разработке программного обеспечения для 
автоматического перевода с русского на английский, испанский, немецкий и японский язык. Целью работы 
является разработка программного продукта для автоматической обработки текста на русском языке.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Рекомендуемая оценка «удовлетворительно».,"Замечания по работе:
1. Разработанная информационная система не отвечает всем 
требованиям, сформулированным в работе.
2. Имеются недочеты по оформлению работы."
42,"ВКР посвящена проектированию и разработке программного обеспечения автоматизации процесса 
изготовления деталей. В рамках работы была разработана система, которая позволяет 
в режиме реального времени отслеживать процесс изготовления детали. Система представляет собой 
веб-приложение с графическим интерфейсом, обеспечивающим доступ к данным по детали, хранящимся в 
базе данных, и к информации о процессе изготовления.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Существенных замечаний по работе нет.
43,"ВКР посвящена проектированию и разработке программного обеспечения автоматизации учета кадров в 
организации. В ходе выполнения работы были разработаны программные модули, которые позволяют 
автоматизировать учет кадров, учет рабочего времени и учет отпусков. Выполнена постановка задачи.
Выполнен системный анализ. Выявлены функциональные требования к системе.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Существенных замечаний по работе нет.
44,Разработка информационной системы организации заявок на перевозки в логистической компании,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
45,Разработка системы автоматизированного составления расписания,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
46,Проектирование системы мониторинга работы структурных подразделений отдела разработки алгоритмического ПО на основе ключевых показателей эффективности,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
47,"Разработка структуры и содержания шаблона курса «Системная инженерия», реализуемого на платформе дистанционного обучения Moodle","Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
48,Сравнительный анализ IT-систем в сфере управления проектами,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
49,Разработка базовой онтологии инструментов и основных понятий бизнес-аналитики,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
50,Автоматизированное управление разработкой IT проекта,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
51,Разработка приложения для первичной экспертной оценки художественного произведения,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
52,Разработка платформы для фотограмметрического контроля,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
53,Оптимизация алгоритма ORB-SLAM2 для платформы с графической картой NVIDIA,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
54,Разработка инструмента упрощения 3d-моделей,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
55,Разработка алгоритма обработки видеопотока для системы прокторинга,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
56,Разработка системы управления наземными измерительными средствами,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
57,Разработка системы внешнего управления транспортными средствами в проекте Duckietown,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
58,Разработка сервиса для поиска деловых связей на основе мультиорграфа профеcсиональных отношений,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
59,Разработка агрегатора комментариев для администрирования массовых открытых онлайн курсов,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
60,Разработка мобильного приложения для ведения расписания занятий в ВУЗах,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
61,Разработка алгоритма распознавания выражения лица человека в режиме реального времени на мобильных устройствах,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,"Замечания по работе:
1. Не достаточно полно проработана масштабируемость системы.
2. Не совсем логично выполнен интерфейс."
62,Разработка инструмента поиска плагиата в git-репозиториях,"Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «удовлетворительно».,"Замечания по работе:
1. Есть нарушения в оформлении работы, не представленная
структура реальной базы данных, на диаграмме развертывания
системы компоненты программной системы отображены с
нарушением нотации UML, на диаграме отсутствует конкретика
по выбору ПО."
63,Автоматизация контроля бизнес-процессов компании с использованием системы мониторинга,"Выполненная работа соответствует требованиям, предъявляемым к дипломным 
проектам, а её автор заслуживает присвоения квалификации специалиста.",Оценка «отлично».,Замечаний по работе нет.
